,graph,statistic,value
240,farz_0.10,$|V|$,200.0
241,farz_0.10,$|E|$,871.0
242,farz_0.10,$\hat{k}$,5.0
243,farz_0.10,$\hat{o}$,31.0
244,farz_0.10,$\hat{c}$,0.3242000516348438
245,farz_0.10,\shortstack[l]{normalized \\ cut},1.020562450059644
246,farz_0.10,\shortstack[l]{internal \\ edge \\density},0.008199951308814223
247,farz_0.10,significance,365.8109399996583
248,farz_0.10,\shortstack[l]{avarage \\ internal \\degree},1.4181591955388146
249,farz_0.10,\shortstack[l]{modularity \\ density},-1.5333321857940287
250,farz_0.15,$|V|$,200.0
251,farz_0.15,$|E|$,915.0
252,farz_0.15,$\hat{k}$,5.0
253,farz_0.15,$\hat{o}$,37.0
254,farz_0.15,$\hat{c}$,0.32964240010610224
255,farz_0.15,\shortstack[l]{normalized \\ cut},0.9825609687992477
256,farz_0.15,\shortstack[l]{internal \\ edge \\density},0.01058672706303018
257,farz_0.15,significance,452.78543616933473
258,farz_0.15,\shortstack[l]{avarage \\ internal \\degree},1.8033309226888683
259,farz_0.15,\shortstack[l]{modularity \\ density},-0.9072995629177667
260,farz_0.20,$|V|$,200.0
261,farz_0.20,$|E|$,939.0
262,farz_0.20,$\hat{k}$,5.0
263,farz_0.20,$\hat{o}$,36.0
264,farz_0.20,$\hat{c}$,0.3252730554752926
265,farz_0.20,\shortstack[l]{normalized \\ cut},0.9482445341937076
266,farz_0.20,\shortstack[l]{internal \\ edge \\density},0.01184662065288269
267,farz_0.20,significance,562.8769672519045
268,farz_0.20,\shortstack[l]{avarage \\ internal \\degree},2.1663702524566797
269,farz_0.20,\shortstack[l]{modularity \\ density},-0.6173461541881176
270,farz_0.25,$|V|$,200.0
271,farz_0.25,$|E|$,919.0
272,farz_0.25,$\hat{k}$,5.0
273,farz_0.25,$\hat{o}$,35.0
274,farz_0.25,$\hat{c}$,0.3383721390367311
275,farz_0.25,\shortstack[l]{normalized \\ cut},0.908717301609592
276,farz_0.25,\shortstack[l]{internal \\ edge \\density},0.014776157014442159
277,farz_0.25,significance,716.24172576254
278,farz_0.25,\shortstack[l]{avarage \\ internal \\degree},2.566993146993147
279,farz_0.25,\shortstack[l]{modularity \\ density},-0.6327824335491619
280,farz_0.30,$|V|$,200.0
281,farz_0.30,$|E|$,775.0
282,farz_0.30,$\hat{k}$,5.0
283,farz_0.30,$\hat{o}$,18.0
284,farz_0.30,$\hat{c}$,0.31067079479866366
285,farz_0.30,\shortstack[l]{normalized \\ cut},0.8822459428005928
286,farz_0.30,\shortstack[l]{internal \\ edge \\density},0.027114368896946923
287,farz_0.30,significance,599.6023059196158
288,farz_0.30,\shortstack[l]{avarage \\ internal \\degree},2.1970295208426047
289,farz_0.30,\shortstack[l]{modularity \\ density},-4.166815230993294
290,farz_0.35,$|V|$,200.0
291,farz_0.35,$|E|$,913.0
292,farz_0.35,$\hat{k}$,5.0
293,farz_0.35,$\hat{o}$,36.0
294,farz_0.35,$\hat{c}$,0.34192053017309953
295,farz_0.35,\shortstack[l]{normalized \\ cut},0.827002772447816
296,farz_0.35,\shortstack[l]{internal \\ edge \\density},0.02191414774957002
297,farz_0.35,significance,1036.8048725821454
298,farz_0.35,\shortstack[l]{avarage \\ internal \\degree},3.2298268398268397
299,farz_0.35,\shortstack[l]{modularity \\ density},-0.9123464725460126
300,farz_0.40,$|V|$,200.0
301,farz_0.40,$|E|$,877.0
302,farz_0.40,$\hat{k}$,5.0
303,farz_0.40,$\hat{o}$,20.0
304,farz_0.40,$\hat{c}$,0.3074337592024452
305,farz_0.40,\shortstack[l]{normalized \\ cut},0.8017879946414286
306,farz_0.40,\shortstack[l]{internal \\ edge \\density},0.025775596485491603
307,farz_0.40,significance,1026.6065465849906
308,farz_0.40,\shortstack[l]{avarage \\ internal \\degree},3.3298628982497327
309,farz_0.40,\shortstack[l]{modularity \\ density},-0.9082878575845554
310,farz_0.45,$|V|$,200.0
311,farz_0.45,$|E|$,889.0
312,farz_0.45,$\hat{k}$,5.0
313,farz_0.45,$\hat{o}$,24.0
314,farz_0.45,$\hat{c}$,0.2939885021062146
315,farz_0.45,\shortstack[l]{normalized \\ cut},0.7699830184363263
316,farz_0.45,\shortstack[l]{internal \\ edge \\density},0.04128295767529305
317,farz_0.45,significance,1053.1939954402978
318,farz_0.45,\shortstack[l]{avarage \\ internal \\degree},3.3490397074793172
319,farz_0.45,\shortstack[l]{modularity \\ density},-7.01577893014218
320,farz_0.50,$|V|$,200.0
321,farz_0.50,$|E|$,891.0
322,farz_0.50,$\hat{k}$,5.0
323,farz_0.50,$\hat{o}$,12.0
324,farz_0.50,$\hat{c}$,0.32418156077247445
325,farz_0.50,\shortstack[l]{normalized \\ cut},0.7324428745985857
326,farz_0.50,\shortstack[l]{internal \\ edge \\density},0.048174642248768086
327,farz_0.50,significance,1110.51745218975
328,farz_0.50,\shortstack[l]{avarage \\ internal \\degree},3.9286222222222222
329,farz_0.50,\shortstack[l]{modularity \\ density},-1.99763049382716
330,farz_0.55,$|V|$,200.0
331,farz_0.55,$|E|$,876.0
332,farz_0.55,$\hat{k}$,5.0
333,farz_0.55,$\hat{o}$,26.0
334,farz_0.55,$\hat{c}$,0.3674053739938985
335,farz_0.55,\shortstack[l]{normalized \\ cut},0.668568649328107
336,farz_0.55,\shortstack[l]{internal \\ edge \\density},0.034870617610343636
337,farz_0.55,significance,1483.0813880880276
338,farz_0.55,\shortstack[l]{avarage \\ internal \\degree},4.185179465179465
339,farz_0.55,\shortstack[l]{modularity \\ density},-1.1080471155717833
340,farz_0.60,$|V|$,200.0
341,farz_0.60,$|E|$,896.0
342,farz_0.60,$\hat{k}$,5.0
343,farz_0.60,$\hat{o}$,28.0
344,farz_0.60,$\hat{c}$,0.3285632382539168
345,farz_0.60,\shortstack[l]{normalized \\ cut},0.5937935649167756
346,farz_0.60,\shortstack[l]{internal \\ edge \\density},0.02979393822076749
347,farz_0.60,significance,1588.584141277446
348,farz_0.60,\shortstack[l]{avarage \\ internal \\degree},4.698635694928377
349,farz_0.60,\shortstack[l]{modularity \\ density},-0.025563401549396292
350,farz_0.65,$|V|$,200.0
351,farz_0.65,$|E|$,907.0
352,farz_0.65,$\hat{k}$,5.0
353,farz_0.65,$\hat{o}$,26.0
354,farz_0.65,$\hat{c}$,0.35574198119611694
355,farz_0.65,\shortstack[l]{normalized \\ cut},0.538306906090034
356,farz_0.65,\shortstack[l]{internal \\ edge \\density},0.036392900841176704
357,farz_0.65,significance,2002.2346339588448
358,farz_0.65,\shortstack[l]{avarage \\ internal \\degree},5.43431265031265
